Area Code,Area,Area Type,Area Title,Year,Month,Month_Str,Ref_Type,Version,Labor Force,Employment,Unemployment,Unemployment Rate
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,1,Jan,B,2020,1408702,1324542,84160,6
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,2,Feb,B,2020,1408411,1324192,84219,6
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,3,Mar,B,2020,1409008,1324375,84633,6
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,4,Apr,B,2020,1411578,1326146,85432,6.1
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,5,May,B,2020,1414850,1328830,86020,6.1
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,6,Jun,B,2020,1418278,1331873,86405,6.1
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,7,Jul,B,2020,1420661,1333792,86869,6.1
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,8,Aug,B,2020,1421974,1334164,87810,6.2
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,9,Sep,B,2020,1422664,1333200,89464,6.3
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,10,Oct,B,2020,1422906,1331248,91658,6.4
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,11,Nov,B,2020,1423127,1328948,94179,6.6
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1990,12,Dec,B,2020,1423662,1327011,96651,6.8
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1991,1,Jan,B,2020,1425029,1326009,99020,6.9
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1991,2,Feb,B,2020,1427478,1326260,101218,7.1
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1991,3,Mar,B,2020,1430292,1327431,102861,7.2
BS5300000000000,BS,Balance of State,"Balance of Washington, state less Seattle-Bellevue-Everett MD",1991,4,Apr,B,2020,1432810,1328859,103951,7.3
