"Year","EmploymentStatus","avg_employment"
2011,"Employed",1371741.91666667
2011,"Unemployed",118077.166666667
2012,"Employed",1415532.41666667
2012,"Unemployed",99253.8333333333
2013,"Employed",1455664.08333333
2013,"Unemployed",69866.5
2014,"Employed",1490076.33333333
2014,"Unemployed",72387.5833333333
2015,"Employed",1522476.58333333
2015,"Unemployed",67051.4166666667
2016,"Employed",1564785.08333333
2016,"Unemployed",63761.25
2017,"Employed",1592295.91666667
2017,"Unemployed",60510.5833333333
2018,"Employed",1632310.41666667
2018,"Unemployed",57548.3333333333
2019,"Employed",1675509.66666667
2019,"Unemployed",48190.1666666667
