"","Year","State.Abb","State","Topic.Type","Topic.Desc","Measure.Desc","Response","Data.Value.Unit","Data.Value.Type","Data.Value","Data.Value.Std.Err","Low.Confidence.Limit","High.Confidence.Limit","Sample.Size","Gender","Race","Age","Education","Geolocation","Area","Area.Type","Area.Title","Month","Labor.Force","Employment","Unemployment","Unemployment.Rate","id","Employment.Rate","Relative.Sample.Size"
"1",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"1",92,"Small"
"2",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"2",92.1,"Small"
"3",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"3",92.3,"Small"
"4",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"4",91.9,"Small"
"5",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"5",92.5,"Small"
"6",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"6",92.6,"Small"
"7",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"7",92.7,"Small"
"8",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"8",92.4,"Small"
"9",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"9",91.4,"Small"
"10",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"10",91.5,"Small"
"11",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"11",91.7,"Small"
"12",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",31.3,2.8,25.8,36.8,797,"Overall","All Races","Age 25 and Older","< 12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"12",91.8,"Small"
"13",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"13",92,"Large"
"14",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"14",92.1,"Large"
